source_row,sample_id,smiles,is_valid,is_unique,in_training_set,pred_model1,pred_model2,pred_mean,pred_min,pred_max,pred_delta_abs,model1_name,model2_name
2763,3048,[*]/N=C/c1ccc2c(c1)c1cc(C(C)(C)C)c(Oc3cccc(C([*])=O)c3)cc12,True,True,False,546.3377685546875,535.4336547851562,540.8857116699219,535.4336547851562,546.3377685546875,10.90411376953125,multimodal,graph
2502,2753,[*]c1ccc(S2=NC(=O)c3ccc(-c4cc(C)c([*])cc4C3=S)cc2)cc1,True,True,False,537.1478881835938,542.859619140625,540.0037536621094,537.1478881835938,542.859619140625,5.71173095703125,multimodal,graph
326,352,[*]/C=C/c1ccc(C(=O)Nc2ccc(C)cc2)c(NC(=O)c2ccc(O[*])cc2)c1C,True,True,False,506.6568603515625,559.6415405273438,533.1492004394531,506.6568603515625,559.6415405273438,52.98468017578125,multimodal,graph
3436,3790,[*]/C=C/c1c(F)c([*])c(N=O)c(-c2ccccc2)c1-c1ccc(F)c(F)c1Br,True,True,False,560.3009643554688,505.6488037109375,532.9748840332031,505.6488037109375,560.3009643554688,54.65216064453125,multimodal,graph
1681,1852,[*]C#Cc1ccc(N2C=CC(=Cc3ccc(N4C(=O)c5ccc(C([*])=O)cc5C4=O)cc3)CCC2)cc1-c1ccccc1,True,True,False,532.1953125,529.412841796875,530.8040771484375,529.412841796875,532.1953125,2.782470703125,multimodal,graph
2717,2997,[*]Cc1ccc(C(=O)NNC(=O)c2ccc(S[*])cc2)c(OC)c1,True,True,False,522.6183471679688,536.51123046875,529.5647888183594,522.6183471679688,536.51123046875,13.89288330078125,multimodal,graph
2331,2573,[*]NC(=O)c1cccc([Se]C(=O)c2ccc(C([*])=O)cc2)c1Sc1ccccc1,True,True,False,533.7364501953125,523.0957641601562,528.4161071777344,523.0957641601562,533.7364501953125,10.64068603515625,multimodal,graph
3531,3897,[*]C=CC(=O)Nc1ccc(-c2ccccc2)c(C([*])=O)c2ccc(-c3ccccc3)cc2c1,True,True,False,520.1049194335938,533.4096069335938,526.7572631835938,520.1049194335938,533.4096069335938,13.3046875,multimodal,graph
1353,1489,[*]Nc1ccc(-c2ccc(Cc3ccc(NC([*])=O)cc3)c(-c3ccccc3)c2)cc1,True,True,False,534.1943359375,517.8863525390625,526.0403442382812,517.8863525390625,534.1943359375,16.3079833984375,multimodal,graph
2255,2485,[*]c1ccc(Oc2ccc(-c3ccc(C([*])=O)cc3S(=O)(=O)c3ccc(OC)cc3)cc2)cc1,True,True,False,525.8236083984375,521.6800537109375,523.7518310546875,521.6800537109375,525.8236083984375,4.1435546875,multimodal,graph
3049,3365,[*]Cc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C#C)cc3)c2)cc1C(C)(C)C([*])=O,True,True,False,508.59893798828125,535.0112915039062,521.8051147460938,508.59893798828125,535.0112915039062,26.412353515625,multimodal,graph
3463,3820,[*]NC(=O)c1cccc(C(=O)Nc2ccc(Cc3ccc(S(=O)(=O)c4ccc([*])nc4)cc3)cc2C)c1,True,True,False,524.5415649414062,517.8098754882812,521.1757202148438,517.8098754882812,524.5415649414062,6.731689453125,multimodal,graph
3794,4185,[*]Nc1c(C)cc(/C=N/NC(=O)c2ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1COCC(F)(F)F,True,True,False,531.8070678710938,505.05938720703125,518.4332275390625,505.05938720703125,531.8070678710938,26.7476806640625,multimodal,graph
1756,1931,[*]Oc1ccc(C2([*])CC(C(C)(O)c3ccccc3)S(=O)(=O)Oc3ccc([2H])cc32)cc1,True,True,False,522.2366333007812,503.5982666015625,512.9174499511719,503.5982666015625,522.2366333007812,18.63836669921875,multimodal,graph
525,568,[*]Oc1ccc(NC(=O)c2ccc(C(=O)Oc3ccc(S(=O)(=O)c4ccc([*])cc4)cc3)cc2)cc1F,True,True,False,524.8563232421875,500.40081787109375,512.6285705566406,500.40081787109375,524.8563232421875,24.45550537109375,multimodal,graph
3802,4193,[*]Nc1ccccc1C(=O)Nc1ccc(NC(=S)C([*])=O)c(C(C)(C)c2ccccc2)c1,True,True,False,511.74871826171875,511.0762939453125,511.4125061035156,511.0762939453125,511.74871826171875,0.67242431640625,multimodal,graph
3944,4348,[*]Oc1ccc(C(=O)Nc2ccc(OC(=O)c3ccc(N=[*])cc3)cc2)c(S(=O)(=O)c2ccc(C)cc2)c1,True,True,False,503.44708251953125,515.099853515625,509.2734680175781,503.44708251953125,515.099853515625,11.65277099609375,multimodal,graph
711,774,[*]c1cc(C=Nc2ccc(NC([*])=O)c(O)c2)cc(-c2ccccc2)c1,True,True,False,501.4469299316406,510.738525390625,506.0927276611328,501.4469299316406,510.738525390625,9.291595458984375,multimodal,graph
3210,3542,[*]OC(=O)c1ccc(CNc2ccc(NC(=O)Nc3ccc(C)cc3)cc2)cc1C([*])=O,True,True,False,501.1357727050781,509.2005615234375,505.1681671142578,501.1357727050781,509.2005615234375,8.064788818359375,multimodal,graph
3560,3928,[*]C(=O)c1ccc(Oc2ccc(C(=O)NNC(=O)c3ccc(C([*])=O)cc3)c(S(=O)(=O)CC(F)(F)F)c2)cc1,True,True,False,505.1663818359375,502.0694274902344,503.61790466308594,502.0694274902344,505.1663818359375,3.096954345703125,multimodal,graph
6641,7321,[*]c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3cc([*])c(C(F)(F)F)cc3)c(O)c2)cc1,True,True,False,603.0752563476562,612.0633544921875,607.5693054199219,603.0752563476562,612.0633544921875,8.98809814453125,multimodal,graph
